Data	MACK
2001-01-01	94
2001-01-02	134
2001-01-03	85
2001-01-04	124
2001-01-05	127
2001-01-06	153
2001-01-07	130
2001-01-08	136
2001-01-09	126
2001-01-10	95
2001-01-11	112
2001-01-12	112
2001-01-14	111
2001-01-17	64
2001-01-18	62
2001-01-19	75
2001-01-20	78
2001-01-21	107
2001-01-22	108
2001-01-23	135
2001-01-24	132
2001-01-25	110
2001-01-26	101
2001-01-27	100
2001-01-28	103
2001-01-29	105
2001-01-30	90
2001-01-31	86
2001-02-01	79
2001-02-02	99
2001-02-03	108
2001-02-04	82
2001-02-05	108
2001-02-06	129
2001-02-07	102
2001-02-08	144
2001-02-09	145
2001-02-10	132
2001-02-11	124
2001-02-12	81
2001-02-13	88
2001-02-14	103
2001-02-15	103
2001-02-16	92
2001-02-17	71
2001-02-18	108
2001-02-19	88
2001-02-20	67
2001-02-21	112
2001-02-22	101
2001-02-23	90
2001-02-24	65
2001-02-25	82
2001-02-26	72
2001-02-27	77
2001-02-28	69
2001-03-01	59
2001-03-02	66
2001-03-03	81
2001-03-04	94
2001-03-05	122
2001-03-06	91
2001-03-07	97
2001-03-08	43
2001-03-09	77
2001-03-10	103
2001-03-11	80
2001-03-12	113
2001-03-13	82
2001-03-14	95
2001-03-15	69
2001-03-16	70
2001-03-17	58
2001-03-18	64
2001-03-19	64
2001-03-20	100
2001-03-21	86
2001-03-22	73
2001-03-23	117
2001-03-24	188
2001-03-25	194
2001-03-26	192
2001-03-27	220
2001-03-28	201
2001-03-29	202
2001-03-30	136
2001-03-31	156
2001-04-01	146
2001-04-02	154
2001-04-03	185
2001-04-04	141
2001-04-05	147
2001-04-06	102
2001-04-07	119
2001-04-08	107
2001-04-09	115
2001-04-10	103
2001-04-11	141
2001-04-12	121
2001-04-13	115
2001-04-14	130
2001-04-15	137
2001-04-16	59
2001-04-17	34
2001-04-18	57
2001-04-19	96
2001-04-20	104
2001-04-21	105
2001-04-22	112
2001-04-23	114
2001-04-24	119
2001-04-25	131
2001-04-26	129
2001-04-27	136
2001-04-28	84
2001-04-29	122
2001-04-30	124
2001-05-01	107
2001-05-02	129
2001-05-03	108
2001-05-04	117
2001-05-05	130
2001-05-06	106
2001-05-07	85
2001-05-08	69
2001-05-09	74
2001-05-10	79
2001-05-11	97
2001-05-13	88
2001-05-14	94
2001-05-15	89
2001-05-16	113
2001-05-17	120
2001-05-18	121
2001-05-19	90
2001-05-20	81
2001-05-21	108
2001-05-22	121
2001-05-23	129
2001-05-24	120
2001-05-25	106
2001-05-26	121
2001-05-27	158
2001-05-28	132
2001-05-29	85
2001-05-30	105
2001-05-31	83
2001-06-01	95
2001-06-02	122
2001-06-03	96
2001-06-04	86
2001-06-05	102
2001-06-06	132
2001-06-07	147
2001-06-08	165
2001-06-09	178
2001-06-10	161
2001-06-11	187
2001-06-12	199
2001-06-13	180
2001-06-14	200
2001-06-15	203
2001-06-16	165
2001-06-17	177
2001-06-18	129
2001-06-19	130
2001-06-20	102
2001-06-21	122
2001-06-22	167
2001-06-23	154
2001-06-24	134
2001-06-25	108
2001-06-26	116
2001-06-27	92
2001-06-28	123
2001-06-29	102
2001-06-30	82
2001-07-01	113
2001-07-02	103
2001-07-03	92
2001-07-04	87
2001-07-05	105
2001-07-06	72
2001-07-07	65
2001-07-08	62
2001-07-09	79
2001-07-10	66
2001-07-11	74
2001-07-12	98
2001-07-13	126
2001-07-14	94
2001-07-15	108
2001-07-16	130
2001-07-17	121
2001-07-18	150
2001-07-19	136
2001-07-20	131
2001-07-21	107
2001-07-22	106
2001-07-23	120
2001-07-24	75
2001-07-25	85
2001-07-26	65
2001-07-27	85
2001-07-28	79
2001-07-30	62
2001-07-31	85
2001-08-01	107
2001-08-02	113
2001-08-03	149
2001-08-04	117
2001-08-05	145
2001-08-06	115
2001-08-07	129
2001-08-08	137
2001-08-09	94
2001-08-10	109
2001-08-11	135
2001-08-12	115
2001-08-13	75
2001-08-14	86
2001-08-15	122
2001-08-16	171
2001-08-17	142
2001-08-18	127
2001-08-19	108
2001-08-20	103
2001-08-21	106
2001-08-22	124
2001-08-23	120
2001-08-24	129
2001-08-25	86
2001-08-26	101
2001-08-27	124
2001-08-28	89
2001-08-29	101
2001-08-30	80
2001-08-31	97
2001-09-01	110
2001-09-02	128
2001-09-03	118
2001-09-04	111
2001-09-05	143
2001-09-06	147
2001-09-07	132
2001-09-08	142
2001-09-09	120
2001-09-11	112
