Data	SIDC
2001-01-01	89
2001-01-02	94
2001-01-03	88
2001-01-04	98
2001-01-05	110
2001-01-06	130
2001-01-07	131
2001-01-08	105
2001-01-09	115
2001-01-10	101
2001-01-11	115
2001-01-12	117
2001-01-14	100
2001-01-17	59
2001-01-18	60
2001-01-19	73
2001-01-20	61
2001-01-21	81
2001-01-22	93
2001-01-23	112
2001-01-24	118
2001-01-25	106
2001-01-26	84
2001-01-27	97
2001-01-28	102
2001-01-29	90
2001-01-30	70
2001-01-31	86
2001-02-01	78
2001-02-02	78
2001-02-03	92
2001-02-04	91
2001-02-05	105
2001-02-06	110
2001-02-07	111
2001-02-08	111
2001-02-09	114
2001-02-10	105
2001-02-11	100
2001-02-12	71
2001-02-13	71
2001-02-14	68
2001-02-15	75
2001-02-16	73
2001-02-17	71
2001-02-18	76
2001-02-19	75
2001-02-20	76
2001-02-21	94
2001-02-22	81
2001-02-23	59
2001-02-24	56
2001-02-25	56
2001-02-26	58
2001-02-27	50
2001-02-28	51
2001-03-01	52
2001-03-02	53
2001-03-03	75
2001-03-04	92
2001-03-05	104
2001-03-06	91
2001-03-07	85
2001-03-08	63
2001-03-09	79
2001-03-10	97
2001-03-11	90
2001-03-12	95
2001-03-13	74
2001-03-14	80
2001-03-15	75
2001-03-16	70
2001-03-17	51
2001-03-18	61
2001-03-19	66
2001-03-20	80
2001-03-21	88
2001-03-22	85
2001-03-23	113
2001-03-24	149
2001-03-25	186
2001-03-26	218
2001-03-27	241
2001-03-28	235
2001-03-29	233
2001-03-30	231
2001-03-31	205
2001-04-01	186
2001-04-02	166
2001-04-03	169
2001-04-04	134
2001-04-05	133
2001-04-06	110
2001-04-07	100
2001-04-08	115
2001-04-09	110
2001-04-10	114
2001-04-11	115
2001-04-12	103
2001-04-13	98
2001-04-14	92
2001-04-15	75
2001-04-16	58
2001-04-17	28
2001-04-18	38
2001-04-19	62
2001-04-20	86
2001-04-21	116
2001-04-22	109
2001-04-23	106
2001-04-24	109
2001-04-25	119
2001-04-26	119
2001-04-27	128
2001-04-28	107
2001-04-29	113
2001-04-30	112
2001-05-01	107
2001-05-02	118
2001-05-03	115
2001-05-04	132
2001-05-05	118
2001-05-06	92
2001-05-07	79
2001-05-08	55
2001-05-09	63
2001-05-10	60
2001-05-11	80
2001-05-13	85
2001-05-14	102
2001-05-15	96
2001-05-16	99
2001-05-17	95
2001-05-18	93
2001-05-19	85
2001-05-20	82
2001-05-21	95
2001-05-22	121
2001-05-23	134
2001-05-24	118
2001-05-25	112
2001-05-26	118
2001-05-27	124
2001-05-28	103
2001-05-29	85
2001-05-30	75
2001-05-31	69
2001-06-01	58
2001-06-02	99
2001-06-03	99
2001-06-04	96
2001-06-05	106
2001-06-06	119
2001-06-07	129
2001-06-08	142
2001-06-09	168
2001-06-10	159
2001-06-11	173
2001-06-12	171
2001-06-13	160
2001-06-14	180
2001-06-15	186
2001-06-16	191
2001-06-17	178
2001-06-18	153
2001-06-19	141
2001-06-20	136
2001-06-21	144
2001-06-22	151
2001-06-23	155
2001-06-24	145
2001-06-25	131
2001-06-26	114
2001-06-27	107
2001-06-28	89
2001-06-29	74
2001-06-30	65
2001-07-01	74
2001-07-02	83
2001-07-03	80
2001-07-04	71
2001-07-05	62
2001-07-06	45
2001-07-07	47
2001-07-08	54
2001-07-09	71
2001-07-10	70
2001-07-11	69
2001-07-12	90
2001-07-13	111
2001-07-14	99
2001-07-15	102
2001-07-16	113
2001-07-17	123
2001-07-18	127
2001-07-19	122
2001-07-20	118
2001-07-21	96
2001-07-22	100
2001-07-23	101
2001-07-24	90
2001-07-25	79
2001-07-26	61
2001-07-27	60
2001-07-28	63
2001-07-30	57
2001-07-31	52
2001-08-01	62
2001-08-02	81
2001-08-03	93
2001-08-04	115
2001-08-05	130
2001-08-06	120
2001-08-07	118
2001-08-08	117
2001-08-09	104
2001-08-10	99
2001-08-11	112
2001-08-12	112
2001-08-13	91
2001-08-14	93
2001-08-15	106
2001-08-16	127
2001-08-17	117
2001-08-18	106
2001-08-19	100
2001-08-20	101
2001-08-21	110
2001-08-22	112
2001-08-23	119
2001-08-24	116
2001-08-25	92
2001-08-26	101
2001-08-27	112
2001-08-28	121
2001-08-29	96
2001-08-30	99
2001-08-31	115
2001-09-01	103
2001-09-02	106
2001-09-03	120
2001-09-04	108
2001-09-05	120
2001-09-06	141
2001-09-07	166
2001-09-08	182
2001-09-09	166
2001-09-11	126
2001-09-13	150
2001-09-14	148
2001-09-15	130
2001-09-16	121
2001-09-17	112
2001-09-18	136
2001-09-19	143
2001-09-20	183
2001-09-21	173
2001-09-22	164
2001-09-23	186
2001-09-24	200
2001-09-25	193
2001-09-26	175
2001-09-27	176
2001-09-28	170
2001-09-29	159
2001-09-30	165
2001-10-01	168
2001-10-03	135
2001-10-04	132
2001-10-05	114
2001-10-06	104
2001-10-07	103
2001-10-08	77
2001-10-10	98
2001-10-11	113
2001-10-12	127
2001-10-13	108
2001-10-14	115
2001-10-15	123
2001-10-16	121
2001-10-17	126
2001-10-18	131
2001-10-19	143
2001-10-20	160
2001-10-21	154
2001-10-22	135
2001-10-24	135
2001-10-25	151
2001-10-26	154
2001-10-27	143
2001-10-28	139
2001-10-29	120
2001-10-30	103
2001-10-31	93
2001-11-01	96
2001-11-02	100
2001-11-03	100
2001-11-04	111
2001-11-05	130
2001-11-06	140
2001-11-07	123
2001-11-08	152
2001-11-09	149
2001-11-10	149
2001-11-11	145
2001-11-12	121
2001-11-13	118
2001-11-14	118
2001-11-15	117
2001-11-16	90
2001-11-17	85
2001-11-18	92
2001-11-19	81
2001-11-20	87
2001-11-21	80
2001-11-22	87
2001-11-23	80
2001-11-24	67
2001-11-25	73
2001-11-26	84
2001-11-27	76
2001-11-28	107
2001-11-29	115
2001-11-30	121
2001-12-01	133
2001-12-02	149
2001-12-03	150
2001-12-04	145
2001-12-05	158
2001-12-06	142
2001-12-07	138
2001-12-08	140
2001-12-09	141
2001-12-10	115
2001-12-12	117
2001-12-13	119
2001-12-14	101
2001-12-15	108
2001-12-16	120
2001-12-17	119
2001-12-18	115
2001-12-19	99
2001-12-20	101
2001-12-21	120
2001-12-22	135
2001-12-23	133
2001-12-24	157
2001-12-25	143
2001-12-26	167
2001-12-27	164
2001-12-28	156
2001-12-29	137
2001-12-30	134
2001-12-31	135
