AREA	IR
146692000	0.764306
14752600	0.951548
9933450	0.922723
84729900	0.837901
36036300	0.891076
129993000	0.807122
10569000	0.919244
12072400	0.922103
10535700	0.941711
10449000	0.94635
31130600	0.921206
284472000	0.756442
51178300	0.805832
154075000	0.765569
11537000	0.879974
492171000	0.320608
12104800	0.895004
16829200	0.895717
99259500	0.805955
20505700	0.875488
11233500	0.930848
139440000	0.841154
11108000	0.909485
24293700	0.901081
15326800	0.89812
21744100	0.904579
49429100	0.90523
10218100	0.931616
10262700	0.958159
84508700	0.86946
10831500	0.956995
73228400	0.835098
108247000	0.83322
9084950	0.773877
2053300000	0.644422
12531900	0.905772
101304000	0.836731
20954200	0.875105
950935000	0.665431
20966600	0.834397
11458600	0.923263
159068000	0.623525
21069900	0.836108
184177000	0.467461
17911600	0.677029
158004000	0.594366
17115700	0.808027
188157000	0.607856
100770000	0.727682
15158400	0.502482
145508000	0.548737
110670000	0.68712
181229000	0.423483
139849000	0.364576
33968400	0.773395
72140000	0.775284
27518100	0.81874
53275100	0.842767
34346600	0.940666
99720900	0.541321
15227700	0.887875
61228000	0.762325
122654000	0.640096
178980000	0.755958
37977800	0.828144
31854800	0.761321
16992200	0.76261
31468800	0.798335
299644000	0.313231
75294600	0.786013
49483600	0.776704
12673200	0.863234
12945500	0.921938
122995000	0.730341
344166000	0.799287
418333000	0.739928
13053800	0.897653
12495700	0.914916
59492000	0.875996
38439600	0.88487
26635800	0.914264
12263000	0.909125
51441500	0.849565
50028200	0.856706
41442800	0.709042
650746000	0.462204
475431000	0.736498
25475700	0.927394
24520400	0.862888
60466000	0.833787
17834400	0.814974
12948000	0.896732
592503000	0.70269
16979500	0.870465
499589000	0.696573
14685100	0.883583
16505300	0.864344
16457000	0.833466
37190400	0.84962
24108800	0.852641
326803000	0.730929
18569300	0.907815
13360000	0.876444
67871400	0.888713
11226600	0.924001
31337600	0.827541
92845900	0.699427
15373000	0.88097
62104600	0.799124
12362700	0.885812
85044900	0.778947
19416600	0.945929
55061300	0.874208
11378600	0.926105
13373200	0.905867
210398000	0.780679
194376000	0.781552
6527530	0.874088
76788200	0.720889
39977800	0.840805
19506200	0.860282
61049200	0.700041
151673000	0.525871
7739030	0.736416
98810900	0.784058
64750200	0.750346
341953000	0.780443
10075000	0.949875
78012800	0.896384
26252100	0.903028
934212000	0.698593
43012000	0.908986
41348500	0.91608
44201400	0.921971
216974000	0.785902
11585100	0.920657
12588900	0.855784
