Data	NOAA
2009-01-01	0
2009-01-02	0
2009-01-03	0
2009-01-04	0
2009-01-05	0
2009-01-06	0
2009-01-07	0
2009-01-08	0
2009-01-09	14
2009-01-10	17
2009-01-11	20
2009-01-13	11
2009-01-15	0
2009-01-16	0
2009-01-17	0
2009-01-18	0
2009-01-19	13
2009-01-21	0
2009-01-22	0
2009-01-23	0
2009-01-25	0
2009-01-27	0
2009-01-28	0
2009-01-29	0
2009-01-31	0
2009-02-02	0
2009-02-06	0
2009-02-09	0
2009-02-13	11
2009-02-14	0
2009-02-16	0
2009-02-17	0
2009-02-18	0
2009-02-19	0
2009-02-21	0
2009-02-22	0
2009-02-24	12
2009-02-25	14
2009-02-26	12
2009-02-27	0
2009-02-28	0
2009-03-01	0
2009-03-04	0
2009-03-05	0
2009-03-06	12
2009-03-07	12
2009-03-08	0
2009-03-09	0
2009-03-10	0
2009-03-11	0
2009-03-12	0
2009-03-13	0
2009-03-14	0
2009-03-15	0
2009-03-16	0
2009-03-17	0
2009-03-18	0
2009-03-19	0
2009-03-20	0
2009-03-21	0
2009-03-22	0
2009-03-23	0
2009-03-24	0
2009-03-25	0
2009-03-26	0
2009-03-27	0
2009-03-28	0
2009-03-29	0
2009-03-30	0
2009-03-31	0
2009-04-01	0
2009-04-03	0
2009-04-05	0
2009-04-06	0
2009-04-08	0
2009-04-10	0
2009-04-11	0
2009-04-13	0
2009-04-14	0
2009-04-15	0
2009-04-16	0
2009-04-17	0
2009-04-18	0
2009-04-19	0
2009-04-20	0
2009-04-21	11
2009-04-22	0
2009-04-23	0
2009-04-24	0
2009-04-25	0
2009-04-26	0
2009-04-27	0
2009-04-29	15
2009-05-01	0
2009-05-13	12
2009-05-15	12
2009-05-17	13
2009-05-18	14
2009-05-19	11
2009-05-20	0
2009-05-21	0
2009-05-22	0
2009-05-23	13
2009-05-24	0
2009-05-25	0
2009-05-26	0
2009-05-27	0
2009-05-28	0
2009-05-29	0
2009-05-30	0
2009-05-31	15
2009-06-01	23
2009-06-02	19
2009-06-03	17
2009-06-04	17
2009-06-05	13
2009-06-06	0
2009-06-07	0
2009-06-08	12
2009-06-09	12
2009-06-10	0
2009-06-11	0
2009-06-12	12
2009-06-13	0
2009-06-14	0
2009-06-15	0
2009-06-16	0
2009-06-17	11
2009-06-18	0
2009-06-21	12
2009-06-22	24
2009-06-26	0
2009-06-27	0
2009-06-28	0
2009-06-29	0
2009-06-30	0
2009-07-01	0
2009-07-02	0
2009-07-03	17
2009-07-04	24
2009-07-05	26
2009-07-06	23
2009-07-07	21
2009-07-08	18
2009-07-09	15
2009-07-10	13
2009-07-11	0
2009-07-14	0
2009-07-15	0
2009-07-16	0
2009-07-17	0
2009-07-18	0
2009-07-19	0
2009-07-20	0
2009-07-23	0
2009-07-24	0
2009-07-25	0
2009-07-27	0
2009-08-20	0
2009-08-22	0
2009-08-23	0
2009-08-24	0
2009-08-25	0
2009-08-27	0
2009-08-28	0
2009-08-29	0
2009-09-02	0
2009-09-03	0
2009-09-04	0
2009-09-05	0
2009-09-08	0
2009-09-11	0
2009-09-12	0
2009-09-13	0
2009-09-14	0
2009-09-15	0
2009-09-16	0
2009-09-18	0
2009-09-22	26
2009-09-23	31
2009-09-24	32
2009-09-25	25
2009-09-26	14
2009-09-27	11
2009-09-28	11
2009-09-29	14
2009-10-02	0
2009-10-03	0
2009-10-05	0
2009-10-06	0
2009-10-07	0
2009-10-08	0
2009-10-09	0
2009-10-10	0
2009-10-11	0
2009-10-12	0
2009-10-13	0
2009-10-14	0
2009-10-15	0
2009-10-16	0
2009-10-17	0
2009-10-19	0
2009-10-20	11
2009-10-21	0
2009-10-22	0
2009-10-23	30
2009-10-24	21
2009-10-25	28
2009-10-26	29
2009-10-27	29
2009-10-28	26
2009-10-29	19
2009-10-30	13
2009-10-31	0
2009-11-01	0
2009-11-07	11
2009-11-08	0
2009-11-09	14
2009-11-10	13
2009-11-11	11
2009-11-12	11
2009-11-13	0
2009-11-14	0
2009-11-15	11
2009-11-16	12
2009-11-17	0
2009-11-18	29
2009-11-19	30
2009-11-20	31
2009-11-21	14
2009-11-22	13
2009-11-23	0
2009-11-24	0
2009-11-25	0
2009-11-26	0
2009-11-27	0
2009-11-28	0
2009-11-29	0
2009-11-30	0
2009-12-02	0
2009-12-04	0
2009-12-05	0
2009-12-06	0
2009-12-07	0
2009-12-08	0
2009-12-10	13
2009-12-11	13
2009-12-12	12
2009-12-13	14
2009-12-17	24
2009-12-18	20
2009-12-19	43
2009-12-20	42
2009-12-21	42
2009-12-22	26
2009-12-23	23
2009-12-24	11
2009-12-25	0
2009-12-26	13
2009-12-27	17
2009-12-28	17
	
	
	
	
	
	
	
	
	
	
